

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415815_at	47.9319	A	0.149658
1415816_at	14362.2	P	0.000244141
1415817_s_at	7037.21	P	0.000244141
1415818_at	6641.34	P	0.000244141
1415819_a_at	7569.86	P	0.000244141
1415820_x_at	12725.5	P	0.000244141
1415821_at	9863.11	P	0.000244141
1415822_at	30731	P	0.000244141
1415823_at	8541.9	P	0.000244141
1415824_at	1868.01	P	0.000244141
1415825_s_at	2043.11	P	0.000244141
1415826_at	4558.86	P	0.000244141
1415827_a_at	8633.38	P	0.000244141
1415828_a_at	6887.54	P	0.000244141
1415829_at	20740.6	P	0.000244141
1415830_at	2949.08	P	0.000732422
1415831_at	8853.26	P	0.000244141
1415832_at	1.79204	A	0.999268
1415833_x_at	77561.5	P	0.000244141
1415834_at	2936.6	P	0.000244141
1415835_at	24.981	A	0.303711
1415836_at	1271.91	P	0.000244141
1415837_at	9.14987	A	0.567627
1415838_at	8098.22	P	0.000244141
1415839_a_at	56674.9	P	0.000244141
1415840_at	12295.5	P	0.000244141
1415841_at	5099.81	P	0.000244141
1415842_at	608.691	P	0.00415039
1415843_at	435.987	P	0.00292969
1415844_at	25.8332	A	0.432373
1415845_at	56.5339	A	0.625244
1415846_a_at	67.0202	A	0.303711
1415847_at	95.8488	A	0.432373
1415848_at	167.83	A	0.366211
1415849_s_at	24908.9	P	0.000244141
1415850_at	3207.19	P	0.000244141
1415851_a_at	11565.5	P	0.000244141
1415852_at	14435.2	P	0.000244141
1415853_at	67.8805	A	0.303711
1415854_at	6.24388	A	0.780518
1415855_at	18.1658	A	0.696289
1415856_at	22173.9	P	0.000244141
1415857_at	56717.8	P	0.000244141
1415858_at	14916.8	P	0.000244141
1415859_at	8652.42	P	0.000244141
1415860_at	13209.7	P	0.000244141
1415861_at	34.0271	A	0.432373
1415862_at	4.57032	A	0.665527
1415863_at	18871.6	P	0.000244141
1415864_at	1566.14	P	0.000244141
1415865_s_at	1381.79	P	0.000732422
1415866_at	979.879	P	0.000244141
1415867_at	24331.1	P	0.000244141
1415868_at	185.595	P	0.0302734
1415869_a_at	5045.93	P	0.000244141
1415870_at	3256.71	P	0.000244141
1415871_at	82.7182	A	0.303711
1415872_at	19019.6	P	0.000244141
1415873_a_at	4099.24	P	0.000244141
1415874_at	224.511	A	0.0952148
1415875_at	317.529	P	0.0107422
1415876_a_at	54520.7	P	0.000244141
1415877_at	29.0917	A	0.303711
1415878_at	4485.47	P	0.000244141
1415879_a_at	90647.8	P	0.000244141
1415880_a_at	7860.96	P	0.000244141
1415881_at	5364.85	P	0.000732422
1415882_at	16885.2	P	0.000244141
