

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = NA
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415879_a_at	87858.8	P	0.000244141
1415880_a_at	10438.7	P	0.000244141
1415881_at	5619.46	P	0.000244141
1415882_at	19406.4	P	0.000244141
1415883_a_at	12.6534	A	0.888428
1415884_at	220.368	A	0.19458
1415885_at	9.05059	A	0.80542
1415886_at	554.779	P	0.000244141
1415887_at	8985.66	P	0.000244141
1415888_at	7359.67	P	0.000244141
1415889_a_at	25960	P	0.000244141
1415890_at	1697.15	P	0.000244141
1415891_at	7069.76	P	0.000244141
1415892_at	933.852	P	0.00292969
1415893_at	456.368	P	0.000244141
1415894_at	80.9937	P	0.0375977
1415895_at	1269.88	A	0.303711
1415896_x_at	109.727	A	0.567627
1415897_a_at	53.5018	A	0.0952148
1415898_at	34.5032	A	0.533936
1415899_at	6535.67	P	0.000244141
1415900_a_at	14.9258	A	0.696289
1415901_at	1293.4	P	0.0107422
1415902_at	9.66598	A	0.932373
1415903_at	2764.58	P	0.000244141
1415904_at	298.426	P	0.00415039
1415905_at	60.6546	A	0.19458
1415906_at	94504.2	P	0.000244141
1415907_at	7975.46	P	0.000244141
1415908_at	4151.92	P	0.000244141
1415909_at	4566.51	P	0.000244141
1415910_s_at	1084.93	P	0.00415039
1415911_at	1152.76	P	0.000244141
1415912_a_at	42618.7	P	0.000244141
1415913_at	684.257	P	0.00415039
1415914_at	25495.8	P	0.000244141
1415915_at	6699.41	P	0.000244141
1415916_a_at	2740.39	P	0.000732422
1415917_at	1972.44	P	0.000244141
1415918_a_at	44731.9	P	0.000244141
1415919_at	77.9387	M	0.0561523
1415920_at	6840.3	P	0.000244141
1415921_a_at	56.4466	A	0.303711
1415922_s_at	34.9951	A	0.366211
1415923_at	100.603	A	0.171387
1415924_at	12.2903	A	0.665527
1415925_a_at	3975	P	0.000244141
1415926_at	4903.61	P	0.000244141
1415927_at	17.8132	A	0.366211
1415928_a_at	6625.56	P	0.000244141
1415929_at	4542.17	P	0.000244141
1415930_a_at	15695.8	P	0.000244141
1415931_at	15.0502	A	0.850342
1415932_x_at	623.473	P	0.0012207
1415933_a_at	47295.2	P	0.000244141
1415934_at	2049.61	P	0.000244141
1415935_at	6.77527	A	0.780518
1415936_at	795.632	P	0.000244141
1415937_s_at	1120.71	P	0.000244141
1415938_at	3.95856	A	0.72583
1415939_at	13.3176	A	0.633789
1415940_at	1942.84	P	0.000244141
1415941_s_at	1178.68	P	0.000244141
1415942_at	65756.7	P	0.000244141
1415943_at	140.265	P	0.0461426
1415944_at	23.5496	A	0.665527
1415945_at	5947.41	P	0.000244141
1415946_at	1940.29	P	0.000732422
1415947_at	4187.39	P	0.000244141
1415948_at	523.95	P	0.00585938
1415949_at	453.882	P	0.0012207
1415950_a_at	12967.2	P	0.000732422
1415951_at	10.4611	A	0.904785
1415952_at	1737.41	P	0.000244141
1415953_s_at	609.984	P	0.000244141
1415954_at	5.98187	A	0.932373
1415955_x_at	95.1816	A	0.567627
1415956_a_at	584.464	P	0.0375977
1415957_a_at	6372.1	P	0.000244141
1415958_at	87.3474	A	0.696289
1415959_at	28.8529	A	0.72583
1415960_at	110.934	A	0.0952148
1415961_at	9302.49	P	0.000244141
1415962_at	35993.5	P	0.000244141
1415963_at	11181.6	P	0.000244141
1415964_at	480.176	P	0.000244141
1415965_at	275.286	P	0.000244141
1415966_a_at	5603.85	P	0.000488281
