

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
1416602_a_at	598.6
1416603_at	6730.7
1416604_at	1379.3
1416605_at	332.6
1416606_s_at	2619.1
1416607_at	100.8
1416608_a_at	2397
1416609_at	1001.5
1416610_a_at	638.6
1416611_at	423.1
1416612_at	0.9
1416613_at	0.7
1416614_at	534.4
1416615_at	133.2
1416616_s_at	465.6
1416617_at	492.3
1416618_at	250.4
1416619_at	700.5
1416620_at	144.4
1416621_at	238.1
1416622_at	229.2
1416623_at	30
1416624_a_at	10584.5
1416625_at	0.6
1416626_at	8.9
1416627_at	21
1416628_at	528
1416629_at	609
1416630_at	144.2
1416631_at	127.4
1416632_at	2.5
1416633_a_at	1460.9
1416634_at	1243.3
1416635_at	1361.8
1416636_at	968
1416637_at	597
1416638_at	86.5
1416639_at	10.3
1416640_at	10.7
1416641_at	1324.7
1416642_a_at	9006.3
1416643_at	0.7
1416644_a_at	3.6
1416645_a_at	16.4
1416646_at	38.4
1416647_at	54.7
1416648_at	3138.7
1416649_at	18.3
1416650_at	0.2
1416651_at	299.5
1416652_at	0.7
1416653_at	1803.8
1416654_at	110.7
1416655_at	731
1416656_at	4713.9
1416657_at	273.6
1416658_at	1.3
1416659_at	2197.4
1416660_at	5358.5
1416661_at	2124.5
1416662_at	2.9
1416663_at	2188
1416664_at	246.7
1416665_at	102.7
1416666_at	34.2
1416667_at	967.8
1416668_at	449.7
1416669_s_at	7173.3
1416670_at	572.1
1416671_a_at	175.4
1416672_s_at	285.4
1416673_at	18
1416674_at	6.6
1416675_s_at	27.7
1416676_at	2.3
1416677_at	1.5
1416678_at	978.9
1416679_at	515.9
1416680_at	2073.2
1416681_at	174.9
1416682_at	100
1416683_at	19.4
1416684_at	1447.2
1416685_s_at	2216.4
1416686_at	11.2
1416687_at	13.1
1416688_at	3.6
1416689_at	12.6
1416690_at	1007
1416691_at	221.5
1416692_at	65.3
1416693_at	0.5
1416694_at	0.7
1416695_at	1062.8
1416696_at	563.9
1416697_at	1024.8
1416698_a_at	2935.6
1416699_at	1054.1
1416700_at	18.5
1416701_at	0.4
1416702_at	617.9
1416703_at	2585
1416704_at	617
1416705_at	204
1416706_at	668.5
1416707_a_at	143.3
1416708_a_at	1154.3
1416709_a_at	381.5
1416710_at	8
1416711_at	3.2
1416712_at	303.9
1416713_at	179
1416714_at	232.9
1416715_at	1
1416716_at	2.8
1416717_at	1.4
1416718_at	20.4
1416719_a_at	4643.8
1416720_at	715
1416721_s_at	2007.5
1416722_at	596.1
1416723_at	52.3
1416724_x_at	118.6
1416725_at	11.1
1416726_s_at	843.1
1416727_a_at	925.8
1416728_at	2977.6
1416729_at	0.8
1416730_at	299.7
1416731_at	1116.7
1416732_at	1610
1416733_at	565.5
1416734_at	57.5
1416735_at	1070.4
1416736_at	788.8
1416737_at	18.2
1416738_at	1665.4
1416739_a_at	501.4
1416740_at	13.8
1416741_at	0.7
1416742_at	1884.8
1416743_at	557.2
1416744_at	4.5
1416745_x_at	7.7
1416746_at	509.2
1416747_at	325.7
1416748_a_at	333.5
1416749_at	4.8
1416750_at	164.6
1416751_a_at	244.1
1416752_at	17.3
1416753_at	17.6
1416754_at	15.5
1416755_at	4619.7
1416756_at	348.7
1416757_at	158.2
1416758_at	428.9
1416759_at	3101.9
1416760_at	1.5
1416761_at	7.5
1416762_at	7343.8
1416763_at	2570.2
1416764_at	3903.7
1416765_s_at	1087
1416766_at	1818.7
1416767_a_at	3709.9
1416768_at	1097.7
1416769_s_at	286
1416770_at	303.2
1416771_at	500.6
1416772_at	227.7
1416773_at	112.1
1416774_at	210.8
1416775_at	152
1416776_at	1.8
1416777_at	3.9
1416778_at	9.1
1416779_at	5.2
1416780_at	192.8
1416781_at	200.8
1416782_s_at	260.2
1416783_at	8.3
1416784_at	1.3
1416785_at	3.6
1416786_at	46.5
1416787_at	13.6
1416788_a_at	2062.2
1416789_at	2641.1
1416790_a_at	1716.1
1416791_a_at	1833.2
1416792_at	1163.3
1416793_at	350.8
1416794_at	222.8
1416795_at	51.5
1416796_at	1476.6
1416797_at	502
1416798_a_at	23.4
1416799_at	231.2
1416800_at	230.6
1416801_at	495.3
1416802_a_at	297
1416803_at	34.9
1416804_at	828.5
1416805_at	0.7
1416806_at	262.4
1416807_at	7241.6
1416808_at	3.3
1416809_at	4.7
1416810_at	1725.8
1416811_s_at	3114.3
1416812_at	283
1416813_at	400.6
1416814_at	54.4
1416815_s_at	1901.3
1416816_at	3352.3
1416817_at	48
1416818_at	0.8
1416819_at	2024
1416820_at	215.6
1416821_at	351.9
1416822_at	44.2
1416823_a_at	7.3
1416824_at	2.7
1416825_at	9.4
1416826_a_at	549.8
1416827_at	30.1
1416828_at	4.5
1416829_at	6373.7
1416830_at	338.8
1416831_at	146.9
1416832_at	152.6
1416833_at	0.1
1416834_x_at	321
1416835_s_at	411.2
1416836_at	1129.7
1416837_at	1089.1
1416838_at	616.1
1416839_at	8
1416840_at	718.4
1416841_at	216.6
1416842_at	13.5
1416843_at	414.2
1416844_at	64.2
1416845_at	27.4
1416846_a_at	7
1416847_s_at	2.3
1416848_at	1500.4
1416849_at	210.3
1416850_s_at	1154.3
