

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415924_at	42.9216	A	0.601074
1415925_a_at	3882.54	P	0.000244141
1415926_at	4984.69	P	0.000244141
1415927_at	62.5872	A	0.067627
1415928_a_at	6103.1	P	0.000244141
1415929_at	4828.86	P	0.000244141
1415930_a_at	16723.8	P	0.000244141
1415931_at	56.5323	A	0.533936
1415932_x_at	646.108	P	0.00195313
1415933_a_at	46197.9	P	0.000244141
1415934_at	2415.56	P	0.000244141
1415935_at	45.7609	A	0.334473
1415936_at	671.273	P	0.000244141
1415937_s_at	1216.88	P	0.000244141
1415938_at	69.2468	A	0.466064
1415939_at	48.8537	A	0.567627
1415940_at	1977.76	P	0.000244141
1415941_s_at	1260.28	P	0.000244141
1415942_at	70777	P	0.000244141
1415943_at	247.35	P	0.0185547
1415944_at	24.3571	A	0.780518
1415945_at	5802.34	P	0.000244141
1415946_at	1914.23	P	0.000732422
1415947_at	4377.38	P	0.000244141
1415948_at	739.262	P	0.00292969
1415949_at	515.757	P	0.000244141
1415950_a_at	13781.7	P	0.000732422
1415951_at	7.72288	A	0.98584
1415952_at	1589.51	P	0.000244141
1415953_s_at	772.267	P	0.000732422
1415954_at	15.1283	A	0.80542
1415955_x_at	135.216	A	0.5
1415956_a_at	448.697	P	0.0461426
1415957_a_at	5709.29	P	0.000244141
1415958_at	18.7474	A	0.753906
1415959_at	13.8794	A	0.850342
1415960_at	110.166	A	0.124756
1415961_at	9231.69	P	0.000244141
1415962_at	37609.2	P	0.000244141
1415963_at	10059.2	P	0.000244141
1415964_at	531.54	P	0.000732422
1415965_at	381.378	P	0.000244141
1415966_a_at	5885.51	P	0.000488281
1415967_at	6032.91	P	0.00195313
1415968_a_at	181.313	A	0.067627
1415969_s_at	28.488	A	0.334473
1415970_at	35543.7	P	0.000244141
1415971_at	6367.24	P	0.000244141
1415972_at	2422.34	P	0.000244141
1415973_at	3270.49	P	0.000244141
1415974_at	3321.22	P	0.000244141
1415975_at	1062.8	P	0.000244141
1415976_a_at	2082.03	P	0.000244141
1415977_at	1013.71	P	0.000732422
1415978_at	7.12412	A	0.601074
1415979_x_at	73799.7	P	0.000244141
1415980_at	22657.5	P	0.000244141
1415981_at	2734.35	P	0.000244141
1415982_at	1543.72	P	0.000244141
1415983_at	35393	P	0.000244141
1415984_at	4364.84	P	0.000244141
1415985_at	5694.92	P	0.000244141
1415986_at	2190.16	P	0.000244141
1415987_at	4695.93	P	0.000244141
1415988_at	1099.06	P	0.000244141
1415989_at	76.9155	A	0.27417
1415990_at	23711.4	P	0.000244141
1415991_a_at	4715.81	P	0.000244141
1415992_at	1040.44	P	0.000732422
1415993_at	4417.41	P	0.000244141
1415994_at	80.1763	A	0.19458
1415995_at	3597.08	P	0.000244141
1415996_at	25990.2	P	0.000244141
1415997_at	14162.4	P	0.000244141
1415998_at	10870.8	P	0.000244141
1415999_at	40.7283	A	0.533936
1416000_a_at	28002.8	P	0.000244141
1416001_a_at	3572.19	P	0.00195313
1416002_x_at	3760.3	P	0.000244141
1416003_at	13.3664	A	0.5
1416004_at	19066.1	P	0.000244141
1416005_at	6386.54	P	0.000244141
1416006_at	260.776	A	0.067627
1416007_at	23914.8	P	0.000244141
1416008_at	16970.1	P	0.000244141
1416009_at	1441.64	P	0.000244141
1416010_a_at	2033.09	P	0.000244141
1416011_x_at	1070.84	P	0.000244141
1416012_at	127.425	A	0.466064
1416013_at	3068.3	P	0.000732422
1416014_at	3358.43	P	0.000244141
1416015_s_at	5188.29	P	0.000244141
1416016_at	5303.65	P	0.000732422
1416017_at	789.603	M	0.0561523
1416018_at	3605.24	P	0.000732422
1416019_at	2041.62	P	0.000244141
1416020_a_at	8026.79	P	0.000244141
1416021_a_at	17856.3	P	0.000244141
1416022_at	7119.26	P	0.000244141
1416023_at	74.0071	P	0.0375977
1416024_x_at	20361.4	P	0.000244141
1416025_at	3.31603	A	0.976074
1416026_a_at	63471.8	P	0.000244141
1416027_at	11068.8	P	0.000244141
1416028_a_at	11932.9	P	0.000244141
1416029_at	2317.39	P	0.000244141
1416030_a_at	7428.49	P	0.000244141
1416031_s_at	5535.05	P	0.000244141
1416032_at	1400.01	P	0.000244141
1416033_at	263.424	P	0.0012207
1416034_at	226.685	P	0.00415039
1416035_at	9766.21	P	0.000244141
1416036_at	26794.4	P	0.000244141
1416037_a_at	30303.6	P	0.000244141
1416038_at	4009.4	P	0.000244141
1416039_x_at	49.811	A	0.466064
1416040_at	18.1863	A	0.696289
1416041_at	4437.97	P	0.000244141
1416042_s_at	4944.59	P	0.000244141
1416043_at	88.9832	A	0.303711
1416044_at	5459.91	P	0.000244141
1416045_a_at	2840.83	P	0.000244141
1416046_a_at	2369.1	P	0.000244141
1416047_at	23.9092	A	0.665527
1416048_at	1720.45	P	0.000244141
1416049_at	6.43553	A	0.976074
1416050_a_at	1256.61	P	0.000244141
1416051_at	82.9371	A	0.334473
1416052_at	3729.26	P	0.000244141
1416053_at	11.0808	A	0.780518
1416054_at	66818.8	P	0.000244141
1416055_at	47.0907	A	0.0915527
1416056_a_at	25803.7	P	0.000244141
1416057_at	19100.7	P	0.000244141
1416058_s_at	37848	P	0.000244141
1416059_at	4730.9	P	0.000244141
1416060_at	7884.21	P	0.000244141
1416061_at	4977.28	P	0.000732422
1416062_at	1481.95	P	0.000244141
1416063_x_at	1.52858	A	0.850342
1416064_a_at	36422.3	P	0.000244141
1416065_a_at	6140.55	P	0.000244141
1416066_at	109.976	A	0.303711
1416067_at	3556.97	P	0.000244141
1416068_at	9172.07	P	0.000244141
1416069_at	18695.9	P	0.000244141
1416070_a_at	3209.54	P	0.000244141
1416071_at	3797.31	P	0.000244141
1416072_at	74.3931	A	0.171387
1416073_a_at	3166.05	P	0.000244141
1416074_a_at	81914	P	0.000244141
1416075_at	1397.98	P	0.000732422
1416076_at	4555.85	P	0.000244141
1416077_at	34.5646	A	0.246094
1416078_s_at	3054.97	P	0.000732422
1416079_a_at	3565.36	P	0.000244141
1416080_at	332.09	A	0.0805664
1416081_at	273.566	P	0.0141602
1416082_at	34001.6	P	0.000244141
1416083_at	3862.89	P	0.000244141
1416084_at	1824.04	P	0.000732422
1416085_s_at	9410.75	P	0.000244141
1416086_at	2731.83	P	0.000244141
1416087_at	2658.23	P	0.000244141
1416088_a_at	68976.6	P	0.000244141
1416089_at	60970.2	P	0.00292969
1416090_at	8805.54	P	0.000244141
1416091_at	1358.43	P	0.000244141
1416092_a_at	3136.8	P	0.000732422
1416093_a_at	6602.86	P	0.000244141
1416094_at	2818.09	P	0.000244141
1416095_x_at	10092.8	P	0.000244141
1416096_at	2081.13	P	0.000244141
1416097_at	3.52113	A	0.870361
1416098_at	79.0879	A	0.5
1416099_at	76372.2	P	0.000244141
1416100_at	10782.9	P	0.000244141
1416101_a_at	37902.2	P	0.000244141
1416102_at	17853.7	P	0.000244141
1416103_at	1885.25	P	0.000244141
1416104_at	1975.77	P	0.000244141
1416105_at	2795.07	P	0.000244141
1416106_at	4049.41	P	0.000244141
1416107_at	827.616	P	0.000244141
1416108_a_at	7076.19	P	0.000244141
1416109_at	8245.72	P	0.000244141
1416110_at	2248.21	P	0.000244141
1416111_at	28.022	A	0.633789
1416112_at	17090.7	P	0.000244141
1416113_at	3600.31	P	0.00292969
1416114_at	7.96663	A	0.870361
1416115_at	3237.06	P	0.000244141
1416116_at	503.245	P	0.000244141
1416117_at	235.368	A	0.0805664
1416118_at	3944.72	P	0.000244141
1416119_at	43982.1	P	0.000244141
1416120_at	10157.9	P	0.0107422
1416121_at	60.0085	A	0.27417
1416122_at	31127.1	P	0.000732422
1416123_at	2246.35	P	0.000244141
1416124_at	2639.85	P	0.0012207
1416125_at	3367.56	P	0.000244141
1416126_at	1269.35	P	0.000244141
1416127_a_at	3897.38	P	0.000244141
1416128_at	1164.88	P	0.000732422
1416129_at	973.99	P	0.000244141
1416130_at	3391	P	0.000244141
1416131_s_at	4262.62	P	0.000244141
1416132_at	2231.58	P	0.000244141
1416133_at	3421.34	P	0.000244141
