

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
1416169_at	1.9
1416170_at	1057.9
1416171_at	1541.2
1416172_at	591.9
1416173_at	35
1416174_at	85.6
1416175_a_at	1535.2
1416176_at	1221.5
1416177_at	1311.5
1416178_a_at	35.8
1416179_a_at	598.9
1416180_a_at	813.2
1416181_at	2295.8
1416182_at	192.1
1416183_a_at	634.9
1416184_s_at	576.5
1416185_a_at	3599.7
1416186_at	2083.5
1416187_s_at	3244.3
1416188_at	568.1
1416189_a_at	5728.4
1416190_a_at	269.5
1416191_at	191.1
1416192_at	74
1416193_at	21.1
1416194_at	2
1416195_at	243.5
1416196_at	67.8
1416197_at	718
1416198_at	227.3
1416199_at	9.7
1416200_at	4.8
1416201_at	263.5
1416202_at	2827.5
1416203_at	8.8
1416204_at	7.4
1416205_at	260
1416206_at	663.6
1416207_at	510.7
1416208_at	253
1416209_at	5047
1416210_at	886.8
1416211_a_at	3.5
1416212_at	1433.1
1416213_x_at	1615.5
1416214_at	661.7
1416215_at	856
1416216_at	366.9
1416217_a_at	6336.3
1416218_x_at	58.7
1416219_at	9621.7
1416220_at	877.3
1416221_at	3.7
1416222_at	221
1416223_at	436.5
1416224_at	160.7
1416225_at	29.3
1416226_at	3727.2
1416227_at	98.5
1416228_at	372.3
1416229_at	429.7
1416230_at	613.3
1416231_at	219.2
1416232_at	4.2
1416233_at	3561
1416234_at	756.1
1416235_at	286.3
1416236_a_at	1.6
1416237_at	0.5
1416238_at	8
1416239_at	412.7
1416240_at	1219.3
1416241_at	1393.4
1416242_at	8.4
1416243_a_at	9135.3
1416244_a_at	6305.8
1416245_at	788.2
1416246_a_at	7912.7
1416247_at	1800.1
1416248_at	715.7
1416249_at	261.2
1416250_at	680.7
1416251_at	1102.1
1416252_at	3407.6
1416253_at	543
1416254_a_at	1466
1416255_at	2.7
1416256_a_at	1365.6
1416257_at	1481
1416258_at	95.1
1416259_at	161.2
1416260_a_at	653.7
1416261_at	366.5
1416262_at	156.9
1416263_at	193.6
1416264_at	98.6
1416265_at	57.4
1416266_at	3.7
1416267_at	137.6
1416268_at	279.5
1416269_at	2091.9
1416270_at	1675.2
1416271_at	129.1
1416272_at	969.8
1416273_at	7.8
1416274_at	91.3
1416275_at	19.6
1416276_a_at	7941.2
1416277_a_at	7624.5
1416278_a_at	1537.8
1416279_at	477
1416280_at	1023.7
1416281_at	457.1
1416282_at	1621.5
1416283_at	481.1
1416284_at	249.3
1416285_at	235.7
1416286_at	0.1
1416287_at	0.4
1416288_at	4897.8
1416289_at	38
1416290_a_at	1056.8
1416291_at	1198
1416292_at	1326.3
1416293_at	5.7
1416294_at	1002.2
1416295_a_at	4313.8
1416296_at	5209.7
1416297_s_at	1.5
1416298_at	46.2
1416299_at	32.9
1416300_a_at	2672.6
1416301_a_at	38.2
1416302_at	1
1416303_at	655.7
1416304_at	363.3
1416305_at	43.9
1416306_at	8.1
1416307_at	441.7
1416308_at	469.3
1416309_at	63.2
1416310_at	9.2
1416311_s_at	29.4
1416312_at	1298.2
1416313_at	375.2
1416314_at	40.6
1416315_at	85
1416316_at	1.6
1416317_a_at	169.5
1416318_at	81.3
1416319_at	927.5
1416320_at	106.4
1416321_s_at	1.3
1416322_at	13
1416323_at	920.8
1416324_s_at	893.8
1416325_at	0.1
1416326_at	6237.8
1416327_at	984.6
1416328_a_at	1353.3
1416329_at	347.7
1416330_at	604.2
1416331_a_at	317.2
1416332_at	1761.9
1416333_at	521
1416334_at	34.5
1416335_at	1751.8
1416336_s_at	1268.3
1416337_at	1053.6
1416338_at	160.3
1416339_a_at	445.1
1416340_a_at	1929.6
1416341_at	449.5
1416342_at	83.8
1416343_a_at	383.7
1416344_at	204
1416345_at	1569
1416346_at	29.7
1416347_at	123.9
1416348_at	141.8
1416349_at	354.5
1416350_at	239.9
1416351_at	638.9
1416352_s_at	1769.4
1416353_at	205
1416354_at	977
1416355_at	68.4
1416356_at	703.4
1416357_a_at	4.5
1416358_at	45.4
1416359_at	1358.7
1416360_at	163.8
1416361_a_at	0.5
1416362_a_at	1281.2
1416363_at	17.8
1416364_at	6395.1
1416365_at	4019.8
1416366_at	2049.7
1416367_at	178
1416368_at	69
1416369_at	669.7
1416370_at	245.4
