

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415833_x_at	85684.4	P	0.000244
1415834_at	1351.6	P	0.000244
1415835_at	11.9	A	0.567627
1415836_at	277.4	P	0.000732
1415837_at	4	A	0.828613
1415838_at	3415.1	P	0.000244
1415839_a_at	33973.4	P	0.000244
1415840_at	8831.6	P	0.000244
1415841_at	1852.7	P	0.000244
1415842_at	384.9	P	0.008057
1415843_at	175.8	P	0.046143
1415844_at	17.1	A	0.665527
1415845_at	37.8	P	0.00415
1415846_a_at	3.2	A	0.850342
1415847_at	19.5	A	0.633789
1415848_at	25.7	A	0.567627
1415849_s_at	3248.2	P	0.000244
1415850_at	4656.3	P	0.000244
1415851_a_at	5591.3	P	0.000244
1415852_at	7664.4	P	0.001953
1415853_at	212.9	P	0.037598
1415854_at	46.4	P	0.01416
1415855_at	21.7	A	0.366211
1415856_at	4552	P	0.000244
1415857_at	11749	P	0.000244
1415858_at	5460	P	0.000244
1415859_at	1459.6	P	0.000244
1415860_at	1810.4	P	0.000244
1415861_at	59.2	A	0.334473
1415862_at	13.6	A	0.533936
1415863_at	8835.2	P	0.000244
1415864_at	636.4	P	0.000732
1415865_s_at	748.4	P	0.000244
1415866_at	577.7	P	0.000244
1415867_at	10942.9	P	0.000244
1415868_at	76.8	A	0.219482
1415869_a_at	3592.8	P	0.000244
1415870_at	1626.3	P	0.000244
1415871_at	6.1	A	0.665527
1415872_at	13748.8	P	0.000244
1415873_a_at	1742	P	0.000732
1415874_at	168.8	P	0.023926
1415875_at	110.8	P	0.030273
1415876_a_at	45026.8	P	0.000244
1415877_at	61.2	A	0.334473
1415878_at	557.5	P	0.000244
1415879_a_at	103350.8	P	0.000244
1415880_a_at	5564.7	P	0.000244
1415881_at	1779.3	P	0.000244
1415882_at	6345.8	P	0.000244
1415883_a_at	3.2	A	0.80542
1415884_at	167.8	A	0.171387
1415885_at	18.9	A	0.366211
1415886_at	658.5	P	0.000732
1415887_at	1712.1	P	0.000244
1415888_at	2665.1	P	0.000244
1415889_a_at	6056.5	P	0.000244
1415890_at	655.1	P	0.001953
1415891_at	4969.5	P	0.000244
1415892_at	607	P	0.000244
1415893_at	97.5	A	0.067627
